name,position,pro_team,PTS,BLK,STL,AST,OREB,DREB,REB,PF,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN,GP
Blake Griffin,PF,DET,15.5,0.3888888888888889,0.3888888888888889,3.2777777777777777,0.9444444444444444,3.7222222222222223,4.666666666666667,1.5,2.2222222222222223,4.888888888888889,13.88888888888889,4.222222222222222,5.444444444444445,1.5,6.166666666666667,0.352,0.7755102,0.24324324,28.5,28.5,1.0
Terry Rozier,PG,CHA,17.64516129032258,0.16129032258064516,0.967741935483871,4.129032258064516,0.7903225806451613,3.596774193548387,4.387096774193548,2.0161290322580645,2.2580645161290325,6.17741935483871,14.758064516129032,2.6451612903225805,3.0161290322580645,2.6451612903225805,6.612903225806452,0.41857923,0.87700535,0.4,34.20967742,34.20967741935484,1.0
Serge Ibaka,C,LAC,15.795918367346939,0.8571428571428571,0.4897959183673469,1.4285714285714286,2.0408163265306123,6.142857142857143,8.183673469387756,2.795918367346939,1.9591836734693877,6.408163265306122,12.36734693877551,1.7346938775510203,2.3469387755102042,1.2448979591836735,3.2448979591836733,0.51815182,0.73913043,0.3836478,27.3877551,27.387755102040817,0.5306122448979592
Brandon Clarke,PF,MEM,12.04,0.84,0.52,1.44,1.56,4.28,5.84,1.64,0.92,5.08,8.16,1.46,1.86,0.42,1.04,0.62254902,0.78494624,0.40384615,21.78,21.78,0.06
Mike Conley,PG,UTA,13.85,0.1,0.75,4.275,0.625,2.55,3.175,2.25,1.825,4.825,11.85,2.275,2.875,1.925,5.15,0.407173,0.79130435,0.37378641,28.4,28.4,0.85
Malik Beasley,SG,MIN,11.296296296296296,0.14814814814814814,0.7222222222222222,1.3703703703703705,0.3333333333333333,2.3518518518518516,2.685185185185185,1.4074074074074074,1.0185185185185186,4.166666666666667,9.685185185185185,1.0,1.2222222222222223,1.962962962962963,5.018518518518518,0.43021033,0.81818182,0.39114391,21.83333333,21.833333333333332,0.24074074074074073
Richaun Holmes,C,SAC,12.820512820512821,1.4102564102564104,1.0,1.0,3.0256410256410255,5.3076923076923075,8.333333333333334,3.8974358974358974,1.2564102564102564,5.384615384615385,8.23076923076923,2.051282051282051,2.5641025641025643,0.0,0.0,0.65420561,0.8,0.0,28.82051282,28.82051282051282,0.8461538461538461
Evan Fournier,SG,ORL,18.83606557377049,0.22950819672131148,1.1475409836065573,3.1639344262295084,0.2786885245901639,2.2950819672131146,2.5737704918032787,2.4098360655737703,1.9672131147540983,6.688524590163935,14.245901639344263,2.7540983606557377,3.360655737704918,2.7049180327868854,6.655737704918033,0.46950518,0.8195122,0.40640394,31.70491803,31.704918032786885,1.0
Joe Ingles,SF,UTA,9.587301587301587,0.14285714285714285,0.873015873015873,5.158730158730159,0.3492063492063492,3.634920634920635,3.984126984126984,2.126984126984127,1.9206349206349207,3.3333333333333335,7.650793650793651,1.0317460317460319,1.3333333333333333,1.8888888888888888,4.7936507936507935,0.43568465,0.77380952,0.39403974,29.93650794,29.936507936507937,0.5873015873015873
Derrick Rose,PG,DET,18.08,0.32,0.8,5.56,0.54,1.88,2.42,0.98,2.52,7.38,15.06,2.42,2.78,0.9,2.94,0.49003984,0.8705036,0.30612245,25.98,25.98,0.3
Jarrett Allen,C,BKN,10.761904761904763,1.3333333333333333,0.5555555555555556,1.3492063492063493,3.0317460317460316,6.4603174603174605,9.492063492063492,2.253968253968254,1.1428571428571428,4.222222222222222,6.523809523809524,2.3174603174603177,3.6984126984126986,0.0,0.07936507936507936,0.64720195,0.62660944,0.0,25.87301587,25.873015873015873,0.9206349206349206
Coby White,PG,CHI,13.109375,0.09375,0.765625,2.65625,0.4375,3.078125,3.515625,1.8125,1.5625,4.765625,12.109375,1.53125,1.9375,2.046875,5.765625,0.39354839,0.79032258,0.35501355,25.671875,25.671875,0.0
Obi Toppin,PF,NYK,,,,,,,,,,,,,,,,,,,,,
Rui Hachimura,PF,WAS,13.4,0.125,0.85,1.7,1.575,4.45,6.025,2.2,1.0,5.35,11.25,2.2,2.675,0.5,1.8,0.47555556,0.82242991,0.27777778,29.725,29.725,1.0
Otto Porter Jr.,SF,CHI,11.692307692307692,0.46153846153846156,1.0,1.7692307692307692,0.9230769230769231,2.4615384615384617,3.3846153846153846,2.230769230769231,0.7692307692307693,4.3076923076923075,9.923076923076923,1.3846153846153846,2.0,1.6923076923076923,4.384615384615385,0.43410853,0.69230769,0.38596491,23.38461538,23.384615384615383,0.6923076923076923
Miles Bridges,SF,CHA,13.063492063492063,0.7301587301587301,0.6349206349206349,1.7142857142857142,1.3492063492063493,4.2063492063492065,5.555555555555555,2.0634920634920637,1.492063492063492,4.9523809523809526,11.53968253968254,1.6031746031746033,1.9841269841269842,1.5555555555555556,4.619047619047619,0.42916094,0.808,0.33676976,30.71428571,30.714285714285715,0.9841269841269841
DeMarcus Cousins,C,HOU,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,SF,UTA,20.483870967741936,0.11290322580645161,0.5483870967741935,2.0806451612903225,0.6290322580645161,3.532258064516129,4.161290322580645,1.7419354838709677,2.532258064516129,6.709677419354839,14.951612903225806,4.032258064516129,4.467741935483871,3.032258064516129,7.306451612903226,0.44875944,0.90252708,0.41501104,33.19354839,33.193548387096776,1.0
RJ Barrett,SG,NYK,14.092592592592593,0.2962962962962963,0.9074074074074074,2.5555555555555554,0.9074074074074074,4.055555555555555,4.962962962962963,2.2222222222222223,2.1666666666666665,5.148148148148148,12.925925925925926,2.685185185185185,4.462962962962963,1.1111111111111112,3.462962962962963,0.3982808,0.60165975,0.32085561,30.31481481,30.314814814814813,0.9814814814814815
Marvin Bagley III,PF,SAC,14.23076923076923,0.9230769230769231,0.46153846153846156,0.7692307692307693,2.230769230769231,5.230769230769231,7.461538461538462,3.3076923076923075,1.3846153846153846,6.0,12.846153846153847,1.9230769230769231,2.3846153846153846,0.3076923076923077,1.6923076923076923,0.46706587,0.80645161,0.18181818,25.61538462,25.615384615384617,0.46153846153846156
Kendrick Nunn,SG,MIA,15.508196721311476,0.18032786885245902,0.8360655737704918,3.3934426229508197,0.29508196721311475,2.4262295081967213,2.721311475409836,2.2950819672131146,1.6229508196721312,6.098360655737705,13.688524590163935,1.2622950819672132,1.5081967213114753,2.0491803278688523,5.770491803278689,0.44550898,0.83695652,0.35511364,29.73770492,29.737704918032787,1.0
