name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Eric Bledsoe,PG,NOP,15.857142857142858,0.3968253968253968,1.3015873015873016,5.301587301587301,4.507936507936508,2.3968253968253967,5.873015873015873,12.200000000000001,2.6825396825396823,3.4,1.4285714285714286,4.2,0.481,0.79,0.34,28.4,28.400000000000002
Dejounte Murray,PG,SAS,11.28125,0.40625,1.796875,4.296875,6.59375,2.09375,4.65625,10.0,1.453125,1.9,0.515625,1.4,0.466,0.767,0.365,27.5,27.5
Collin Sexton,SG,CLE,20.303030303030305,0.10606060606060606,0.8939393939393939,3.106060606060606,3.196969696969697,2.5,7.666666666666667,16.900000000000002,3.378787878787879,4.0,1.5909090909090908,4.1000000000000005,0.454,0.843,0.389,34.5,34.5
Myles Turner,C,IND,12.733333333333333,2.3,0.8,1.3,6.9,1.3,4.716666666666667,10.1,2.1,2.8,1.2,3.4,0.467,0.752,0.353,29.7,29.7
Jusuf Nurkic,C,POR,17.62295081967213,1.6065573770491803,1.098360655737705,3.2950819672131146,11.60655737704918,2.7049180327868854,6.786885245901639,13.4,4.016393442622951,5.3999999999999995,0.03278688524590164,0.39999999999999997,0.507,0.744,0.096,31.4,31.400000000000002
Josh Richardson,SG,DAL,16.803030303030305,0.696969696969697,1.106060606060606,3.5,3.606060606060606,1.803030303030303,5.96969696969697,14.0,2.742424242424242,3.3000000000000003,2.121212121212121,6.1000000000000005,0.426,0.829,0.348,33.4,33.4
Jaren Jackson Jr.,PF,MEM,17.551724137931036,1.706896551724138,0.7931034482758621,1.396551724137931,5.0,1.793103448275862,6.344827586206897,13.4,2.4655172413793105,3.3000000000000003,2.396551724137931,6.1000000000000005,0.473,0.745,0.394,29.6,29.599999999999998
Kevin Love,PF,CLE,17.535714285714285,0.30357142857142855,0.6071428571428571,2.6964285714285716,9.803571428571429,2.1964285714285716,5.678571428571429,12.799999999999999,3.642857142857143,4.2,2.5357142857142856,6.6000000000000005,0.444,0.866,0.384,30.3,30.3
Lauri Markkanen,PF,CHI,17.716666666666665,0.6,0.8,1.6,8.1,1.7,6.166666666666667,14.4,2.95,3.5,2.433333333333333,6.9,0.428,0.843,0.353,33.9,33.9
James Wiseman,C,GSW,12.1875,1.40625,0.703125,1.09375,7.09375,1.40625,4.765625,9.1,2.625,3.7,0.03125,0.03125,0.523,0.708,0.331,27.9,27.9
Markelle Fultz,PG,ORL,13.777777777777779,0.20634920634920634,1.3968253968253967,5.7936507936507935,3.7936507936507935,2.3015873015873014,5.666666666666667,11.799999999999999,1.8571428571428572,2.5,0.5873015873015873,2.0,0.48,0.741,0.291,31.7,31.7
Christian Wood,C,HOU,18.349206349206348,1.2063492063492063,0.6984126984126984,1.3968253968253967,9.0,1.9047619047619047,6.476190476190476,11.6,4.2063492063492065,5.6000000000000005,1.1904761904761905,3.1999999999999997,0.558,0.751,0.374,30.2,30.2
Anthony Edwards,SG,MIN,15.196969696969697,0.6060606060606061,1.106060606060606,2.303030303030303,4.196969696969697,1.893939393939394,4.924242424242424,11.700000000000001,3.893939393939394,5.1000000000000005,1.4545454545454546,1.4545454545454546,0.421,0.763,0.311,31.2,31.199999999999996
Brook Lopez,C,MIL,11.848484848484848,2.196969696969697,0.6060606060606061,1.5,4.5,1.106060606060606,4.303030303030303,9.700000000000001,1.5151515151515151,1.9000000000000001,1.7272727272727273,5.2,0.443,0.8,0.332,26.8,26.8
Bogdan Bogdanovic,SG,ATL,14.307692307692308,0.2,1.0,3.5076923076923077,3.3076923076923075,1.7076923076923076,5.2,12.1,1.646153846153846,2.1,2.2615384615384615,6.2,0.43,0.781,0.365,29.1,29.1
Spencer Dinwiddie,PG,BKN,16.323076923076922,0.3076923076923077,0.6,5.507692307692308,2.8,2.1076923076923078,5.230769230769231,12.5,4.1692307692307695,5.3,1.6923076923076923,5.3,0.419,0.787,0.319,27.1,27.1
Blake Griffin,PF,DET,21.73469387755102,0.40816326530612246,0.5918367346938775,4.8979591836734695,6.795918367346939,3.0,7.3061224489795915,16.8,4.959183673469388,6.5,2.163265306122449,6.5,0.435,0.763,0.332,33.2,33.199999999999996
Terry Rozier,PG,CHA,14.761194029850746,0.19402985074626866,0.8955223880597015,3.5970149253731343,4.104477611940299,1.8059701492537314,5.17910447761194,12.5,2.1641791044776117,2.5,2.2388059701492535,5.699999999999999,0.414,0.865,0.393,29.7,29.700000000000003
Serge Ibaka,C,LAC,14.920634920634921,1.0952380952380953,0.3968253968253968,1.3015873015873016,7.7936507936507935,1.6984126984126984,6.095238095238095,11.799999999999999,1.6666666666666667,2.1999999999999997,1.0634920634920635,3.0,0.516,0.756,0.352,27.3,27.3
Brandon Clarke,PF,MEM,13.476190476190476,1.0,0.6031746031746031,1.6031746031746033,6.698412698412699,1.0952380952380953,5.666666666666667,9.299999999999999,1.6666666666666667,2.1,0.47619047619047616,1.2,0.609,0.794,0.393,24.9,24.900000000000002
Mike Conley,PG,UTA,19.305084745762713,0.2033898305084746,1.1016949152542372,6.203389830508475,3.305084745762712,1.8983050847457628,6.4576271186440675,15.3,4.0508474576271185,4.9,2.3389830508474576,6.4,0.422,0.825,0.366,31.5,31.5
Malik Beasley,SG,MIN,15.636363636363637,0.19696969696969696,0.8939393939393939,1.696969696969697,3.393939393939394,1.196969696969697,5.575757575757576,12.200000000000001,1.2272727272727273,1.5,3.257575757575758,8.299999999999999,0.457,0.821,0.393,28.3,28.3
Richaun Holmes,C,SAC,11.317460317460318,1.3015873015873016,0.9047619047619048,1.0,7.301587301587301,1.0952380952380953,4.714285714285714,7.3,1.8888888888888888,2.4,,,0.646,0.786,0.129,25.2,25.2
Evan Fournier,SG,ORL,17.369230769230768,0.2,1.0,3.3076923076923075,2.9076923076923076,1.9076923076923078,6.3076923076923075,13.8,2.3846153846153846,2.9,2.3692307692307693,6.2,0.457,0.822,0.381,31.7,31.7
Joe Ingles,SF,UTA,10.779411764705882,0.20588235294117646,1.0,5.294117647058823,4.0,2.1029411764705883,3.838235294117647,8.6,0.9705882352941176,1.3,2.1323529411764706,5.3,0.446,0.751,0.401,30.7,30.7
